osm_id	name	bench	btst	bus	departures_board	description	highway	layer	level	local_ref	mvv:zone	name:bar	name:etymology:wikidata	name:official	network	network:guid	network:short	network:wikidata	network:wikipedia	note	official_name	old_name	operator	public_transport	public_transport:version	rail	railway	railway:position	railway:ref	ref	ref:IFOPT	ref_name	shelter	short_name	source	subway	train	tram	uic_name	uic_ref	wheelchair	wheelchair:description	wheelchair:tram	wikidata	wikipedia	geometry
60303019	Giesing	NA	NA	NA	NA	Giesing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Giesing	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MGI	2	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004148	NA	NA	NA	NA	NA	c(11.5961181, 48.1111394)
60338757	Westpark	NA	NA	NA	NA	Westpark, Gleis 2, U6 Richtung Garching Forschungszentrum	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	c(11.5166828, 48.1178542)
67134965	Therese-Giehse-Allee	NA	NA	NA	NA	Therese-Giehse-Allee, Gleis 2, U5 Ri.Neuperlach Süd	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	2	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	c(11.6426409, 48.0947482)
73706462	Forstenrieder Allee	NA	NA	NA	NA	Forstenrieder Allee, Gleis 2 U3 Ri.Moosach	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	c(11.4993303, 48.0950104)
73712339	Basler Straße	NA	NA	NA	NA	Basler Straße, Gleis 2, U3 Richtung Moosach	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	c(11.4912395, 48.0912349)
73736211	Harras	NA	NA	NA	NA	U6 Harras	NA	-2	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	c(11.5379444, 48.1168324)
73745334	Partnachplatz	NA	NA	NA	NA	Partnachplatz Gleis 2, U6 Ri.Garching-Forschungszentrum	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	c(11.5266191, 48.116899)
81787408	Ismaning	NA	NA	NA	NA	Ismaning, Gleis 1, S8 Ri.Herrsching	NA	NA	-1	1	NA	NA	NA	NA	MVV	NA	NA	NA	NA	NA	NA	NA	DB InfraGO AG	stop_position	NA	NA	stop	14.6	MIS	1	NA	NA	NA	NA	NA	NA	yes	NA	Ismaning	8003092	NA	NA	NA	NA	NA	c(11.6793944, 48.2258051)
82762925	Karlsplatz (Stachus)	NA	NA	NA	NA	Karlsplatz (Stachus), Stop Tram 27/28/N27 Richtung Petuelring/Scheidplatz (Gleis 3)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5651504, 48.1386864)
96886958	Fröttmaning	NA	NA	NA	NA	Tram Stop Fröttmaning, Gleis 1, U6 Ri. Garching Forschungszentrum	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	c(11.616885, 48.2118139)
96886976	Garching-Hochbrück (U)	NA	NA	NA	NA	Garching-Hochbrück, Gleis 2 U6 Ri.Klinikum Großhadern	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	2	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	c(11.6310568, 48.2473514)
99185841	Neuperlach Süd	NA	NA	NA	NA	Neuperlach Süd, Gleis 3	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Neuperlach Süd	NA	DB InfraGO AG	stop_position	NA	NA	stop	NA	MNPS	3	NA	NA	NA	NA	NA	NA	yes	NA	NA	8006696	yes	NA	NA	NA	NA	c(11.6449733, 48.0888488)
99202259	Goetheplatz	NA	NA	NA	NA	Goetheplatz, Gleis 2, U3/U3 Ri.Moosach/Garching-Forschungszentrum	NA	-2	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	c(11.5576102, 48.1290795)
99202271	Implerstraße	NA	NA	NA	NA	Implerstraße, Gleis 1, U6 Ri.Garching-Forschungszentrum	NA	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	c(11.5485241, 48.1201976)
184087374	Riem	NA	NA	NA	NA	Riem, Gleis 1, S2 Ri.Erding	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	München-Riem	NA	DB Netz AG	stop_position	NA	NA	stop	NA	MRI	1	NA	NA	NA	NA	NA	NA	yes	NA	NA	8004160	NA	NA	NA	NA	NA	c(11.6777794, 48.1439458)
199132942	Albrechtstraße	NA	NA	NA	NA	Albrechtstraße, Stop Tram 12 Richtung Rotkreuzplatz; Romanplatz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	c(11.5402561, 48.155584)
199132948	Infanteriestraße	NA	NA	NA	NA	Infanteriestraße, Stop Tram 12 Richtung Romanplatz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	1	de:09162:106:1:1	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5534794, 48.161459)
199132961	Scheidplatz	NA	NA	NA	NA	Scheidplatz, Stop Tram 12 Richtung Romanplatz	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	3	de:09162:400:3:3	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.5729836, 48.1713239)
201383952	Haidenauplatz	NA	NA	NA	NA	Haidenauplatz, Stop Tram 19/N19 Richtung Pasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.6093153, 48.1318931)
201383963	Schlüsselbergstraße	NA	NA	NA	NA	Schlüsselbergstraße, Stop Tram 19/N19 Richtung Pasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.6222149, 48.129864)
201387894	Mutschellestraße	NA	NA	NA	NA	Mutschellestraße, Stop Tram 19/N19 Richtung Pasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.638634, 48.1266395)
201387899	Kreillerstraße	NA	NA	NA	NA	Kreillerstraße, Stop Tram 19/N19 Richtung Pasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	c(11.6446495, 48.125715)
201387909	St.-Veit-Straße	NA	NA	NA	NA	St.-Veit-Straße, Stop Tram 31/N19 Richtung Sendlinger Tor und Ausstieg Tram 31/N19 (Endhaltestelle)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	stop_position	NA	NA	stop	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	c(11.642259, 48.121978)
